参数,估计值,标准误,Wald_z值,p值,置信区间下限,置信区间上限
常数项,50.03101480364219,0.00486703641853179,10279.564503183798,0.0,50.021475412261864,50.04055419502251
温度,0.0035764031440976853,0.004680147433709167,0.7641646325793783,0.444769139990732,-0.005596685825972281,0.012749492114167652
入口浓度,-0.051908100251584564,0.08995787379467336,-0.5770267577695704,0.5639213799519514,-0.22822553288914435,0.12440933238597521
烟气流量,-0.018498062075670906,0.01744473730304834,-1.060380661188776,0.2889714565445779,-0.052689747189645655,0.01569362303830384
入口负荷,0.04799969500642157,0.08808583156978361,0.5449195875320211,0.5858088239376702,-0.12464853487035432,0.22064792488319745
电场1电压,0.004495879853959492,0.0073529646635804085,0.6114377070554688,0.5409098460256343,-0.009915930886658108,0.018907690594577094
电场2电压,-0.006759436730702403,0.007370062816083428,-0.9171477773502177,0.359065207889253,-0.02120475985022592,0.007685886388821116
电场3电压,-0.0010378004838445067,0.005072215755332936,-0.20460495647358093,0.8378807826232454,-0.01097934336429706,0.008903742396608048
电场4电压,-0.006740344487958553,0.005062649061236822,-1.3313868700809897,0.18306174744922443,-0.016663136647982725,0.003182447672065618
电场1振打频率,7.089232480229881e-05,0.006761563450047715,0.010484605420925028,0.9916346484717456,-0.013181772037291222,0.01332355668689582
电场2振打频率,-0.007996891118750335,0.006948177631181355,-1.1509336034908875,0.2497595520393311,-0.02161531927586579,0.005621537038365121
电场3振打频率,0.014704352000594662,0.012269485463011171,1.1984489524783972,0.23074228474349034,-0.009343839506907233,0.03875254350809656
电场4振打频率,-0.008260683878391148,0.01216370260235598,-0.6791257685625379,0.4970581763515616,-0.032101540979008865,0.015580173222226571
电场1电压×振打频率,0.0025535440270982126,0.005637476549561406,0.45295869608484274,0.6505784838353779,-0.008495910010042143,0.013602998064238567
电场2电压×振打频率,-0.0008399824053174079,0.00582948512812046,-0.1440920401812972,0.8854277901444579,-0.012265773256433509,0.010585808445798693
电场3电压×振打频率,-0.0064693244030625445,0.005032804068512573,-1.2854314046393087,0.19864157282765982,-0.01633362037734719,0.0033949715712220984
电场4电压×振打频率,0.0011824081197885858,0.005065597179310965,0.23341929449459695,0.8154358320885,-0.008746162351660905,0.011110978591238078
误差标准差σ,0.30778939810097766,,,,,
