典型工况,基准预测电耗_kW,优化预测电耗_kW,节电率,基准预测出口浓度_mg_Nm3,优化预测出口浓度_mg_Nm3,优化预测除尘指数,相对电压平方倍率,振打除尘指数修正,除尘指数阈值,边界内最大除尘指数,边界内最低预测浓度_mg_Nm3,是否满足10mg_Nm3,基准U1_kV,优化U1_kV,基准tau1_s,优化tau1_s,基准U2_kV,优化U2_kV,基准tau2_s,优化tau2_s,基准U3_kV,优化U3_kV,基准tau3_s,优化tau3_s,基准U4_kV,优化U4_kV,基准tau4_s,优化tau4_s
工况1,1589.927700716748,1711.5317960299728,-0.07648404091481965,56.440039893226874,9.99998487940867,8.011496100962356,1.2799918088714808,-0.028005536922095203,8.01149458890208,11.069698277149987,0.4697199583036127,1,52.3,59.029848150148155,234,290,52.2,59.895016137862925,235,289,45.9,50.015399528931795,460,506,45.9,53.17541036729748,459,510
工况2,1740.900301189073,1932.830702007589,-0.11024778425704415,56.23357641921116,9.999997593912806,8.201870914326818,1.2710253726472327,-0.027944327477132627,8.20187067371807,9.424421878624353,2.9447793423154422,1,57.4,64.98352096442078,250,290,57.8,67.6493963582854,250,289,50.4,55.91749842051074,452,506,50.6,55.46720412204884,451,510
工况3,1923.2032281486368,2132.045057930414,-0.1085906194026191,56.662281343751296,9.999998221372367,8.172620759613103,1.266607495763278,0.018078945573326885,8.172620581750325,8.277802620128343,9.001606438870427,1,63.6,70.6485502679711,238,290,63.8,71.16078541490214,237,289,51.6,59.199940058041335,425,506,51.6,58.19999896020406,424,400
工况4,1843.1438166387527,2074.5660299487167,-0.12555841341344537,52.22848540242477,9.987577999998948,7.794312526502068,1.2695039256521232,-0.0004753507722741198,7.793069554332017,8.225244191249315,6.490960106601567,1,61.4,69.86470652166884,247,290,61.4,68.11896486384305,248,289,51.4,58.04636189285444,442,451,51.5,58.2,443,434
工况5,1838.0685611673505,1952.973656086211,-0.06251404182980237,55.12905169226744,9.990478697544027,8.375023955868821,1.2614315035176014,-0.03491418764395194,8.374071372059298,9.520078460495224,3.17903599484281,1,60.1,64.05929648669947,226,290,60.2,67.30312073680086,226,289,49.05,57.877665131955226,410,479,49.1,55.27593982737299,409,467
工况6,1667.5488644268787,1822.4642590656524,-0.09290006304673819,55.599217918401145,9.99275563057157,8.452463204465035,1.2587747254118251,-0.02683778008380514,8.451738504990951,10.595477917126065,1.172157046454287,1,54.6,63.156852098601206,247,290,54.6,62.22797508115573,247,289,49.5,53.79006814931431,455,506,49.2,54.28349803659462,455,510
