典型工况,工况编号,训练样本数,训练样本比例,烟气温度中心_℃,入口浓度中心_g_Nm3,烟气流量中心_Nm3_h,入口负荷中心_kg_h,平均最大后验概率
工况1,1,856,0.11897150799166088,131.8838785046729,30.154205607476637,481675.2570093458,14557.189575070093,0.9520061039396893
工况2,2,861,0.11966643502432245,117.13948896631824,36.47767711962834,455430.7015098722,16537.66253559814,0.7758968638712093
工况3,3,1108,0.15399583043780404,130.26046931407942,35.426155234657045,438034.9837545126,15514.394559151624,0.9384508150231583
工况4,4,1311,0.1822098679638638,121.84988558352404,24.23745995423341,479606.887109077,11628.641492234936,0.9253402636249506
工况5,5,1984,0.2757470465601112,129.77620967741936,43.33242439516129,477753.7827620968,20707.187959969757,0.9457493465796146
工况6,6,1075,0.14940931202223767,122.15646511627908,46.83207441860465,438590.4065116279,20534.601149572092,0.8838079488286664
