典型工况,工况编号,训练样本比例,边界内最低预测浓度_mg_Nm3,5标准是否可行,10标准预测电耗_kW,10标准预测出口浓度_mg_Nm3,采用重复编号,5标准预测电耗_kW,5标准预测出口浓度_mg_Nm3,5标准预测除尘指数,电压分组违反,周期分组违反,5标准U1_kV,5标准tau1_s,5标准U2_kV,5标准tau2_s,5标准U3_kV,5标准tau3_s,5标准U4_kV,5标准tau4_s,采用搜索边界,电耗增加量_kW,电耗增加率,优化10U1_kV,优化10U2_kV,优化10U3_kV,优化10U4_kV,优化10tau1_s,优化10tau2_s,优化10tau3_s,优化10tau4_s
工况1,1,0.11897150799166088,0.19205276547901584,1,1711.5317960299728,9.99998487940867,2.0,1795.3578900322539,4.999993425518086,8.704643084359272,0.0,0.0,58.17758723274285,290.0,62.67614958405352,289.0,55.193042875102385,506.0,55.011593156406164,510.0,历史边界,83.82609400228102,0.048977234426332,59.02984815014816,59.895016137862925,50.0153995289318,53.17541036729748,290,289,506,510
工况2,2,0.11966643502432245,1.377066645145527,1,1932.830702007589,9.999997593912806,2.0,2046.5243846255219,4.99493595239157,8.896031177037836,0.0,0.0,68.88627604324937,290.0,69.8724351584228,289.0,57.30113041820355,506.0,57.96575069649883,487.0,电压上限扩展4%,113.69368261793284,0.058822369957100586,64.98352096442078,67.6493963582854,55.91749842051074,55.46720412204884,290,289,506,510
工况3,3,0.15399583043780404,4.616958100792146,1,2132.045057930414,9.999998221372367,2.0,2255.326529048731,4.999964598534688,8.865774842628397,0.0,0.0,73.73486727134737,290.0,74.2557217967466,289.0,61.568000000000005,506.0,60.52792229415138,403.0,电压上限扩展4%,123.28147111831731,0.05782310775269788,70.6485502679711,71.16078541490214,59.199940058041335,58.19999896020406,290,289,506,400
工况4,4,0.1822098679638638,3.345314459269468,1,2074.5660299487167,9.987577999998948,2.0,2180.021882362991,4.9969542408654775,8.48682607232722,0.0,0.0,72.84790289531313,290.0,73.02365857681018,289.0,59.975499556824424,495.0,60.13828775488729,500.0,电压上限扩展4%,105.45585241427443,0.050832728817448776,69.86470652166884,68.11896486384305,58.04636189285444,58.2,290,289,451,434
工况5,5,0.2757470465601112,1.4722142344685503,1,1952.973656086211,9.990478697544027,1.0,2059.2328936667664,4.9999990033518475,9.067218751948893,0.0,0.0,72.16869187877191,290.0,64.40849122907078,289.0,59.65944181188401,506.0,57.78650781242074,443.0,电压上限扩展4%,106.25923758055546,0.054408945686190466,64.05929648669947,67.30312073680086,57.877665131955226,55.27593982737299,290,289,479,467
工况6,6,0.14940931202223767,0.4982265088434116,1,1822.4642590656524,9.99275563057157,3.0,1913.1656581255427,4.999973196322853,9.144891046300694,0.0,0.0,63.38123096583601,290.0,62.20472756412522,289.0,58.12745889076606,506.0,58.556751297484894,490.0,电压上限扩展4%,90.70139905989026,0.0497685475085209,63.156852098601206,62.22797508115573,53.79006814931431,54.28349803659462,290,289,506,510
