典型工况,工况编号,训练样本比例,入口浓度中心_g_Nm3,入口负荷中心_kg_h,5标准所需除尘指数,边界内最大除尘指数,边界内最低预测浓度_mg_Nm3,5标准是否可行,最大除尘策略预测电耗_kW,分组约束满足,最大除尘U1_kV,最大除尘tau1_s,最大除尘U2_kV,最大除尘tau2_s,最大除尘U3_kV,最大除尘tau3_s,最大除尘U4_kV,最大除尘tau4_s
工况1,1,0.11897150799166088,30.154205607476637,14557.189575070093,8.704641769462025,11.964064806403428,0.19205276547901584,1,2433.7273010231816,1,73.736,290,74.25600000000001,154,61.568000000000005,506,60.528000000000006,358
工况2,2,0.11966643502432245,36.47767711962834,16537.66253559814,8.895017854278015,10.184500149338287,1.377066645145527,1,2433.9507599231993,1,73.736,290,74.25600000000001,154,61.568000000000005,506,60.528000000000006,358
工况3,3,0.15399583043780404,35.426155234657045,15514.394559151624,8.86576776231027,8.945469606246153,4.616958100792146,1,2433.7761192125763,1,73.736,290,74.25600000000001,154,61.568000000000005,506,60.528000000000006,358
工况4,4,0.1822098679638638,24.23745995423341,11628.641492234936,8.486216734891963,8.888093949414202,3.345314459269468,1,2433.7948178928127,1,73.736,290,74.25600000000001,154,61.568000000000005,506,60.528000000000006,358
工况5,5,0.2757470465601112,43.33242439516129,20707.187959969757,9.067218552619243,10.289888915616054,1.4722142344685503,1,2433.8698196899577,1,73.736,290,74.25600000000001,154,61.568000000000005,506,60.528000000000006,358
工况6,6,0.14940931202223767,46.83207441860465,20534.601149572092,9.144885685550896,11.451024066314528,0.4982265088434116,1,2433.969230461618,1,73.736,290,74.25600000000001,154,61.568000000000005,506,60.528000000000006,358
