典型工况,工况编号,训练样本比例,入口浓度中心_g_Nm3,入口负荷中心_kg_h,5标准所需除尘指数,边界内最大除尘指数,边界内最低预测浓度_mg_Nm3,5标准是否可行,最大除尘策略预测电耗_kW,分组约束满足,最大除尘U1_kV,最大除尘tau1_s,最大除尘U2_kV,最大除尘tau2_s,最大除尘U3_kV,最大除尘tau3_s,最大除尘U4_kV,最大除尘tau4_s
工况1,1,0.11897150799166088,30.154205607476637,14557.189575070093,8.704641769462025,11.069724820908467,0.46970749033596026,1,2315.141165377806,1,70.9,290,71.4,154,59.2,506,58.2,358
工况2,2,0.11966643502432245,36.47767711962834,16537.66253559814,8.895017854278015,9.42442187862441,2.944779342315275,1,2315.364624277824,1,70.9,290,71.4,154,59.2,506,58.2,358
工况3,3,0.15399583043780404,35.426155234657045,15514.394559151624,8.86576776231027,8.277802620128346,9.001606438870393,0,2315.1899835672007,1,70.9,290,71.4,154,59.2,506,58.2,358
工况4,4,0.1822098679638638,24.23745995423341,11628.641492234936,8.486216734891963,8.225575318436759,6.48881112904974,0,2315.208682247437,1,70.9,290,71.4,154,59.2,506,58.2,358
工况5,5,0.2757470465601112,43.33242439516129,20707.187959969757,9.067218552619243,9.52007846063543,3.17903599439709,1,2315.283684044582,1,70.9,290,71.4,154,59.2,506,58.2,358
工况6,6,0.14940931202223767,46.83207441860465,20534.601149572092,9.144885685550896,10.5954779171262,1.1721570464541287,1,2315.383094816242,1,70.9,290,71.4,154,59.2,506,58.2,358
